user,Alon,,,,,,,,,
date, 11/11/2011, #actual date of experiment,,,,,,,,
description,Monitoring nucleosomes positions and 5' RNA following sth1 conditional depletion,,,,,,,,,
publication url,,#If published,,,,,,,,
data url,, #If uploaded to GEO or found in any other online repository,,,,,,,,
,,,,,,,,,,
samples:,,,,,,,,,,
protocol,genotype,medium[str], carbon source [str],conditional deletion[str],auxin time[min|num],KCL[M|num],repeat[num],mnase batch[num],sequencing_batch[num],fastq path
Mnase-truseq,by4741,YPD,GLU,sth1,1,0.4,1,2,1,mnase/b4.fastq.gz
5' RNA,by4741,YPD,GLU,chd1,5,0.7,1,1,1,5p/a3.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,10,0.4,1,2,1,mnase/c4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,20,0.4,1,2,1,mnase/d4.fastq.gz
5' RNA,by4741,SC -Ura,GLU,chd1,50,0.7,2,1,1,5p/f4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,1,0.4,2,2,1,mnase/e4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,10,0.4,2,2,1,mnase/h4.fastq.gz
5' RNA,by4741,SC -Ura -Leu,GLU,chd1,50,0.7,2,1,1,5p/e4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,1,0.4,2,2,2,mnase/b5.fastq.gz
5' RNA,by4741,YPD,GLU,chd1,20,0.7,2,1,2,5p/d4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,10,0.4,2,2,2,mnase/b6.fastq.gz
5' RNA,by4741,YPD,GLU,chd1,30,0.7,1,1,2,5p/c4.fastq.gz
5' RNA,by4741,YPD,GLU,chd1,40,0.7,1,1,2,5p/a4.fastq.gz
Mnase-truseq,by4741,YPD,GLU,sth1,50,0.4,1,2,2,mnase/b7.fastq.gz
5' RNA,by4741,YPD,GAL,chd1,10,0.7,1,1,2,5p/b8.fastq.gz
5' RNA,by4741,YPD,RAF,chd1,1,0.7,1,1,2,5p/b9.fastq.gz
end
